"puestos_trabajo","rol_funcional"
"Programador","Desarrollo"
"Programadora","Desarrollo"
"Software Engineer","Desarrollo"
"Analista-programador","Desarrollo"
"Analista-programadora","Desarrollo"
"Diseñador de Software","Desarrollo"
"Diseñadora de Software","Desarrollo"
"Diseñador de Soluciones","Desarrollo"
"Diseñadora de Soluciones","Desarrollo"
"Desarrollador Senior","Desarrollo"
"Desarrolladora Senior","Desarrollo"
"Ingeniero de desarrollo","Desarrollo"
"Ingeniera de desarrollo","Desarrollo"
"Ingeniera de software y operaciones","Desarrollo"
"Ingeniero de software y operaciones","Desarrollo"
"Developer","Desarrollo"
"Desarrollador de Software","Desarrollo"
"Desarrolladora de Software","Desarrollo"
"Desarrollador","Desarrollo"
"Desarrolladora","Desarrollo"
"Desarrollador móvil","Desarrollo"
"Desarrolladora móvil","Desarrollo"
"UI Developer","Desarrollo"
"Web Developer","Desarrollo"
"DevOps","Desarrollo"
"DevOps Engineer","Desarrollo"
"Ingeniero devops","Desarrollo"
"Ingeniera devops","Desarrollo"
"Back-end developer","Desarrollo"
"Backend developer","Desarrollo"
"Desarrollador back-end","Desarrollo"
"Desarrolladora back-end","Desarrollo"
"Desarrollador backend","Desarrollo"
"Desarrolladora backend","Desarrollo"
"Front-end developer","Desarrollo"
"Frontend developer","Desarrollo"
"Desarrollador frontend","Desarrollo"
"Desarrolladora frontend","Desarrollo"
"Desarrollador front-end","Desarrollo"
"Desarrolladora front-end","Desarrollo"
"Full-stack developer","Desarrollo"
"Fullstack developer","Desarrollo"
"Full stack developer","Desarrollo"
"Programador full-stack","Desarrollo"
"Programadora full-stack","Desarrollo"
"Programador fullstack","Desarrollo"
"Programadora fullstack","Desarrollo"
"Programador full stack","Desarrollo"
"Programadora full stack","Desarrollo"
"Blockchain Engineer","Desarrollo"
"Integration developer","Desarrollo"
"Desarrollador web y multimedia","Desarrollo"
"Desarrolladora web y multimedia","Desarrollo"
"Desarrolladora web ","Desarrollo"
"Desarrollador web ","Desarrollo"
"Software Architect","Desarrollo"
"Arquitecta de software","Desarrollo"
"Arquitecto de software","Desarrollo"
"Programmer","Desarrollo"
"Principal Engineer","Desarrollo"
"Game Producer","Desarrollo"
"iOS Engineer","Desarrollo"
"RPA Engineer","Desarrollo"
"Consultor RPA","Desarrollo"
"Solution Engineer","Desarrollo"
"Ingeniero en soluciones","Desarrollo"
"Software Architect","Desarrollo"
"Technical Leader","Desarrollo"
"Tech Lead","Desarrollo"
"Líder de desarrollo","Desarrollo"
"Technical Leader","Desarrollo"
"TechLead","Desarrollo"
"Tech Lead","Desarrollo"
"Bussines Solution Implementer","Desarrollo"
"Consultor de implementaciones","Desarrollo"
"Implementación de Software","Desarrollo"
"Consultora SAP - Implementaciones","Desarrollo"
"IMPLEMENTADORA SISTEMAS","Desarrollo"
"Coordinador de implementación","Desarrollo"
"implementador ERP","Desarrollo"
"implementador","Desarrollo"
"Implementación y Compatibilidad","Desarrollo"
"Implementation Consultant","Desarrollo"
"Implementador Senior","Desarrollo"
"Implementation Analyst","Desarrollo"
"Implementador de software","Desarrollo"
"Implementador Ayudante","Desarrollo"
"Implementación de Software","Desarrollo"
"Jefe de implementación","Desarrollo"
"Implementation Engineering Lead","Desarrollo"
"ERP Functional Specialist","Desarrollo"
"Game programmer","Desarrollo"
"Game developer","Desarrollo"
"Programador de videojuegos","Desarrollo"
"Programadora de videojuegos","Desarrollo"
"Analista Control de Calidad","Calidad"
"Quality Assurance","Calidad"
"Quality Assurance Engineer","Calidad"
"Quality Engineer","Calidad"
"Analista de calidad","Calidad"
"QA","Calidad"
"QA Automation","Calidad"
"QA Analyst","Calidad"
"QA Engineer","Calidad"
"QA Tester","Calidad"
"Tester","Calidad"
"Tester QA","Calidad"
"Testing QA","Calidad"
"Líder QA","Calidad"
"Quality Control","Calidad"
"QA Test Lead","Calidad"
"QA Lead","Calidad"
"QA Manual-Automation","Calidad"
"Analista QA","Calidad"
"Functional Validation","Calidad"
"Test Manager","Calidad"
"Gestión de la calidad ","Calidad"
"Líder de Pruebas","Calidad"
"Process Mining Developer","Calidad"
"TAE","Calidad"
"Test Automation Engineer","Calidad"
"CoE","Calidad"
"Responsable de CoE","Calidad"
"Center of Excellence","Calidad"
"Test Engineer","Calidad"
"SDET","Calidad"
"Software Development Engineer in Test","Calidad"
"Ingeniero de desarrollo de software en prueba","Calidad"
"Ingeniera de desarrollo de software en prueba","Calidad"
"Ingeniero de diseño de software en prueba","Calidad"
"Ingeniera de diseño de software en prueba","Calidad"
"Tester","Calidad"
"Analista tester","Calidad"
"Analista Calidad","Calidad"
"Responsable de Calidad","Calidad"
"QA Test Lead","Calidad"
"Líder QA","Calidad"
"QA Lead","Calidad"
"Calidad","Calidad"
"Quality","Calidad"
"Testing","Calidad"
"Pruebas","Calidad"
"Software Engineer In Test","Calidad"
"Testing Manager""","Calidad"
"automatización de pruebas","Calidad"
"Analista de aseguramiento de la calidad","Calidad"
"Analista de calidad","Calidad"
"Maquetador Web","Diseño"
"Maquetadora Web","Diseño"
"Maquetador","Diseño"
"Maquetadora","Diseño"
"Diseñador web","Diseño"
"Diseñadora web","Diseño"
"Front-End Designer","Diseño"
"Frontend Designer","Diseño"
"Diseñador front-end","Diseño"
"Diseñadora front-end","Diseño"
"Full-stack designer","Diseño"
"Fullstack designer","Diseño"
"Full stack designer","Diseño"
"Diseñador full stack","Diseño"
"Diseñadora full stack","Diseño"
"Diseñador full-stack","Diseño"
"Diseñadora full-stack","Diseño"
"Diseñador gráfico","Diseño"
"Diseñadora gráfica","Diseño"
"Layout","Diseño"
"Visual Designer","Diseño"
"Content Designer","Diseño"
"Analista de usabilidad","Diseño"
"Analista UX","Diseño"
"Analista de experiencia de usuario","Diseño"
"Consultor de usabilidad","Diseño"
"Consultora de usabilidad","Diseño"
"Consultor UX","Diseño"
"Consultora UX","Diseño"
"Diseñador UX","Diseño"
"Diseñadora UX","Diseño"
"Diseñador UX/UI","Diseño"
"Diseñadora UX/UI","Diseño"
"User Insight Analyst","Diseño"
"Experience designer","Diseño"
"User experience analyst","Diseño"
"Lider UX","Diseño"
"UX Lead","Diseño"
"User Research","Diseño"
"User researcher","Diseño"
"Analista de UX","Diseño"
"Especialista UX","Diseño"
"UX Research","Diseño"
"UX Researcher","Diseño"
"UX Writer","Diseño"
"UX Manager","Diseño"
"UX Designer","Diseño"
"UX Developer","Diseño"
"UX/UI Designer","Diseño"
"UX Content Strategist","Diseño"
"UI Designer","Diseño"
"CX","Diseño"
"CX Analyst","Diseño"
"CX Specialist","Diseño"
"Product Designer","Diseño"
"Service Designer","Diseño"
"Designer","Diseño"
"UX Research Lead","Diseño"
"Lider UX","Diseño"
"UX Lead","Diseño"
"UX Leader","Diseño"
"Rendering","Diseño"
"Render","Diseño"
"User engagement","Diseño"
"SDET","Diseño"
"Web Content Editor","Diseño"
"Design researcher","Diseño"
"Analista Implementador","Diseño"
"Analista de accesibilidad","Diseño"
"Customer Experience","Diseño"
"Customer experience analyst ","Diseño"
"Realizador audiovisual","Diseño"
"Realizadora audiovisual","Diseño"
"Digital designer","Diseño"
"Creative Designer","Diseño"
"Insights & Analytics","Datos"
"Analista Funcional","Análisis"
"Analista Técnico Funcional","Análisis"
"Analista Técnica Funcional","Análisis"
"Process Improvement Analyst","Análisis"
"Consultor Funcional","Análisis"
"Consultora Funcional","Análisis"
"Functional Analyst","Análisis"
"Analista de Procesos","Análisis"
"Process Analyst","Análisis"
