"puestos_trabajo","rol_ocupacional","grupo_ocupacional"
"Programador","Desarrollo","Técnicos"
"Programadora","Desarrollo","Técnicos"
"Software Engineer","Desarrollo","Técnicos"
"Analista-programador","Desarrollo","Técnicos"
"Analista-programadora","Desarrollo","Técnicos"
"Diseñador de Software","Desarrollo","Técnicos"
"Diseñadora de Software","Desarrollo","Técnicos"
"Diseñador de Soluciones","Desarrollo","Técnicos"
"Diseñadora de Soluciones","Desarrollo","Técnicos"
"Desarrollador Senior","Desarrollo","Técnicos"
"Desarrolladora Senior","Desarrollo","Técnicos"
"Ingeniero de desarrollo","Desarrollo","Técnicos"
"Ingeniera de desarrollo","Desarrollo","Técnicos"
"Ingeniera de software y operaciones","Desarrollo","Técnicos"
"Ingeniero de software y operaciones","Desarrollo","Técnicos"
"Developer","Desarrollo","Técnicos"
"Desarrollador de Software","Desarrollo","Técnicos"
"Desarrolladora de Software","Desarrollo","Técnicos"
"Desarrollador","Desarrollo","Técnicos"
"Desarrolladora","Desarrollo","Técnicos"
"Desarrollador móvil","Desarrollo","Técnicos"
"Desarrolladora móvil","Desarrollo","Técnicos"
"UI Developer","Desarrollo","Técnicos"
"Web Developer","Desarrollo","Técnicos"
"DevOps","Desarrollo","Técnicos"
"DevOps Engineer","Desarrollo","Técnicos"
"Ingeniero devops","Desarrollo","Técnicos"
"Ingeniera devops","Desarrollo","Técnicos"
"Back-end developer","Desarrollo","Técnicos"
"Backend developer","Desarrollo","Técnicos"
"Desarrollador back-end","Desarrollo","Técnicos"
"Desarrolladora back-end","Desarrollo","Técnicos"
"Desarrollador backend","Desarrollo","Técnicos"
"Desarrolladora backend","Desarrollo","Técnicos"
"Front-end developer","Desarrollo","Técnicos"
"Frontend developer","Desarrollo","Técnicos"
"Desarrollador frontend","Desarrollo","Técnicos"
"Desarrolladora frontend","Desarrollo","Técnicos"
"Desarrollador front-end","Desarrollo","Técnicos"
"Desarrolladora front-end","Desarrollo","Técnicos"
"Full-stack developer","Desarrollo","Técnicos"
"Fullstack developer","Desarrollo","Técnicos"
"Full stack developer","Desarrollo","Técnicos"
"Programador full-stack","Desarrollo","Técnicos"
"Programadora full-stack","Desarrollo","Técnicos"
"Programador fullstack","Desarrollo","Técnicos"
"Programadora fullstack","Desarrollo","Técnicos"
"Programador full stack","Desarrollo","Técnicos"
"Programadora full stack","Desarrollo","Técnicos"
"Blockchain Engineer","Desarrollo","Técnicos"
"Integration developer","Desarrollo","Técnicos"
"Desarrollador web y multimedia","Desarrollo","Técnicos"
"Desarrolladora web y multimedia","Desarrollo","Técnicos"
"Desarrolladora web ","Desarrollo","Técnicos"
"Desarrollador web ","Desarrollo","Técnicos"
"Software Architect","Desarrollo","Técnicos"
"Arquitecta de software","Desarrollo","Técnicos"
"Arquitecto de software","Desarrollo","Técnicos"
"Programmer","Desarrollo","Técnicos"
"Principal Engineer","Desarrollo","Técnicos"
"Game Producer","Desarrollo","Técnicos"
"iOS Engineer","Desarrollo","Técnicos"
"RPA Engineer","Desarrollo","Técnicos"
"Consultor RPA","Desarrollo","Técnicos"
"Solution Engineer","Desarrollo","Técnicos"
"Ingeniero en soluciones","Desarrollo","Técnicos"
"Software Architect","Desarrollo","Técnicos"
"Technical Leader","Desarrollo","Técnicos"
"Tech Lead","Desarrollo","Técnicos"
"Líder de desarrollo","Desarrollo","Técnicos"
"Technical Leader","Desarrollo","Técnicos"
"TechLead","Desarrollo","Técnicos"
"Tech Lead","Desarrollo","Técnicos"
"Bussines Solution Implementer","Desarrollo","Técnicos"
"Consultor de implementaciones","Desarrollo","Técnicos"
"Implementación de Software","Desarrollo","Técnicos"
"Consultora SAP - Implementaciones","Desarrollo","Técnicos"
"IMPLEMENTADORA SISTEMAS","Desarrollo","Técnicos"
"Coordinador de implementación","Desarrollo","Técnicos"
"implementador ERP","Desarrollo","Técnicos"
"implementador","Desarrollo","Técnicos"
"Implementación y Compatibilidad","Desarrollo","Técnicos"
"Implementation Consultant","Desarrollo","Técnicos"
"Implementador Senior","Desarrollo","Técnicos"
"Implementation Analyst","Desarrollo","Técnicos"
"Implementador de software","Desarrollo","Técnicos"
"Implementador Ayudante","Desarrollo","Técnicos"
"Implementación de Software","Desarrollo","Técnicos"
"Jefe de implementación","Desarrollo","Técnicos"
"Implementation Engineering Lead","Desarrollo","Técnicos"
"ERP Functional Specialist","Desarrollo","Técnicos"
"Game programmer","Desarrollo","Técnicos"
"Game developer","Desarrollo","Técnicos"
"Programador de videojuegos","Desarrollo","Técnicos"
"Programadora de videojuegos","Desarrollo","Técnicos"
"Analista Control de Calidad","Calidad","Técnicos"
"Quality Assurance","Calidad","Técnicos"
"Quality Assurance Engineer","Calidad","Técnicos"
"Quality Engineer","Calidad","Técnicos"
"Analista de calidad","Calidad","Técnicos"
"QA","Calidad","Técnicos"
"QA Automation","Calidad","Técnicos"
"QA Analyst","Calidad","Técnicos"
"QA Engineer","Calidad","Técnicos"
"QA Tester","Calidad","Técnicos"
"Tester","Calidad","Técnicos"
"Tester QA","Calidad","Técnicos"
"Testing QA","Calidad","Técnicos"
"Líder QA","Calidad","Técnicos"
"Quality Control","Calidad","Técnicos"
"QA Test Lead","Calidad","Técnicos"
"QA Lead","Calidad","Técnicos"
"QA Manual-Automation","Calidad","Técnicos"
"Analista QA","Calidad","Técnicos"
"Functional Validation","Calidad","Técnicos"
"Test Manager","Calidad","Técnicos"
"Gestión de la calidad ","Calidad","Técnicos"
"Líder de Pruebas","Calidad","Técnicos"
"Process Mining Developer","Calidad","Técnicos"
"TAE","Calidad","Técnicos"
"Test Automation Engineer","Calidad","Técnicos"
"CoE","Calidad","Técnicos"
"Responsable de CoE","Calidad","Técnicos"
"Center of Excellence","Calidad","Técnicos"
"Test Engineer","Calidad","Técnicos"
"SDET","Calidad","Técnicos"
"Software Development Engineer in Test","Calidad","Técnicos"
"Ingeniero de desarrollo de software en prueba","Calidad","Técnicos"
"Ingeniera de desarrollo de software en prueba","Calidad","Técnicos"
"Ingeniero de diseño de software en prueba","Calidad","Técnicos"
"Ingeniera de diseño de software en prueba","Calidad","Técnicos"
"Tester","Calidad","Técnicos"
"Analista tester","Calidad","Técnicos"
"Analista Calidad","Calidad","Técnicos"
"Responsable de Calidad","Calidad","Técnicos"
"QA Test Lead","Calidad","Técnicos"
"Líder QA","Calidad","Técnicos"
"QA Lead","Calidad","Técnicos"
"Calidad","Calidad","Técnicos"
"Quality","Calidad","Técnicos"
"Testing","Calidad","Técnicos"
"Pruebas","Calidad","Técnicos"
"Software Engineer In Test","Calidad","Técnicos"
"Testing Manager""","Calidad","Técnicos"
"automatización de pruebas","Calidad","Técnicos"
"Analista de aseguramiento de la calidad","Calidad","Técnicos"
"Analista de calidad","Calidad","Técnicos"
"Maquetador Web","Diseño","Funcionales"
"Maquetadora Web","Diseño","Funcionales"
"Maquetador","Diseño","Funcionales"
"Maquetadora","Diseño","Funcionales"
"Diseñador web","Diseño","Funcionales"
"Diseñadora web","Diseño","Funcionales"
"Front-End Designer","Diseño","Funcionales"
"Frontend Designer","Diseño","Funcionales"
"Diseñador front-end","Diseño","Funcionales"
"Diseñadora front-end","Diseño","Funcionales"
"Full-stack designer","Diseño","Funcionales"
"Fullstack designer","Diseño","Funcionales"
"Full stack designer","Diseño","Funcionales"
"Diseñador full stack","Diseño","Funcionales"
"Diseñadora full stack","Diseño","Funcionales"
"Diseñador full-stack","Diseño","Funcionales"
"Diseñadora full-stack","Diseño","Funcionales"
"Diseñador gráfico","Diseño","Funcionales"
"Diseñadora gráfica","Diseño","Funcionales"
"Layout","Diseño","Funcionales"
"Visual Designer","Diseño","Funcionales"
"Content Designer","Diseño","Funcionales"
"Analista de usabilidad","Diseño","Funcionales"
"Analista UX","Diseño","Funcionales"
"Analista de experiencia de usuario","Diseño","Funcionales"
"Consultor de usabilidad","Diseño","Funcionales"
"Consultora de usabilidad","Diseño","Funcionales"
"Consultor UX","Diseño","Funcionales"
"Consultora UX","Diseño","Funcionales"
"Diseñador UX","Diseño","Funcionales"
"Diseñadora UX","Diseño","Funcionales"
"Diseñador UX/UI","Diseño","Funcionales"
"Diseñadora UX/UI","Diseño","Funcionales"
"User Insight Analyst","Diseño","Funcionales"
"Experience designer","Diseño","Funcionales"
"User experience analyst","Diseño","Funcionales"
"Lider UX","Diseño","Funcionales"
"UX Lead","Diseño","Funcionales"
"User Research","Diseño","Funcionales"
"User researcher","Diseño","Funcionales"
"Analista de UX","Diseño","Funcionales"
"Especialista UX","Diseño","Funcionales"
"UX Research","Diseño","Funcionales"
"UX Researcher","Diseño","Funcionales"
"UX Writer","Diseño","Funcionales"
"UX Manager","Diseño","Funcionales"
"UX Designer","Diseño","Funcionales"
"UX Developer","Diseño","Funcionales"
"UX/UI Designer","Diseño","Funcionales"
"UX Content Strategist","Diseño","Funcionales"
"UI Designer","Diseño","Funcionales"
"CX","Diseño","Funcionales"
"CX Analyst","Diseño","Funcionales"
"CX Specialist","Diseño","Funcionales"
"Product Designer","Diseño","Funcionales"
"Service Designer","Diseño","Funcionales"
"Designer","Diseño","Funcionales"
"UX Research Lead","Diseño","Funcionales"
"Lider UX","Diseño","Funcionales"
"UX Lead","Diseño","Funcionales"
"UX Leader","Diseño","Funcionales"
"Rendering","Diseño","Funcionales"
"Render","Diseño","Funcionales"
"User engagement","Diseño","Funcionales"
"SDET","Diseño","Funcionales"
"Web Content Editor","Diseño","Funcionales"
"Design researcher","Diseño","Funcionales"
"Analista Implementador","Diseño","Funcionales"
"Analista de accesibilidad","Diseño","Funcionales"
"Customer Experience","Diseño","Funcionales"
"Customer experience analyst ","Diseño","Funcionales"
"Realizador audiovisual","Diseño","Funcionales"
"Realizadora audiovisual","Diseño","Funcionales"
"Digital designer","Diseño","Funcionales"
"Creative Designer","Diseño","Funcionales"
"Insights & Analytics","Datos","Técnicos"
"Analista Funcional","Análisis","Funcionales"
"Analista Técnico Funcional","Análisis","Funcionales"
"Analista Técnica Funcional","Análisis","Funcionales"
"Process Improvement Analyst","Análisis","Funcionales"
"Consultor Funcional","Análisis","Funcionales"
"Consultora Funcional","Análisis","Funcionales"
"Functional Analyst","Análisis","Funcionales"
"Analista de Procesos","Análisis","Funcionales"
"Process Analyst","Análisis","Funcionales"
"Product Analyst","Análisis","Funcionales"
"Analista Big Data","Análisis","Funcionales"
"Experto en Big Data","Análisis","Funcionales"
"Experta en Big Data","Análisis","Funcionales"
"Data Science","Análisis","Funcionales"
"Data Scientist ","Análisis","Funcionales"
"Analista Data Scientist","Análisis","Funcionales"
"Data Analyst","Análisis","Funcionales"
"Data Analytics","Análisis","Funcionales"
"Data Analytics Engineer ","Análisis","Funcionales"
"Ingeniero de datos","Análisis","Funcionales"
"Ingeniera de datos","Análisis","Funcionales"
"Analista Digital","Análisis","Funcionales"
"Analista Business Intelligence","Análisis","Funcionales"
"Especialista en Business Intelligence","Análisis","Funcionales"
"Consultor BI","Análisis","Funcionales"
"Consultora BI","Análisis","Funcionales"
"Analista de negocios","Análisis","Funcionales"
"BI Analyst","Análisis","Funcionales"
"Business Intelligence Analyst","Análisis","Funcionales"
"Business Analyst","Análisis","Funcionales"
"BI Developer","Análisis","Funcionales"
"BI Manager","Análisis","Funcionales"
"Cientista de datos","Análisis","Funcionales"
"DataOps","Análisis","Funcionales"
"MLOps","Análisis","Funcionales"
"Machine Learning Engineer","Análisis","Funcionales"
"ML Engineer","Análisis","Funcionales"
"NLP Developer","Análisis","Funcionales"
"NLP Engineer","Análisis","Funcionales"
